Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARI,1997-12-21,39,18,297,9,20,4,0,Sun,16,17,,ATL,W 29-26,19,39,20,48.7,231,3,2,7.7,5.1,72.3,2,6,4.88,5.9,5.63,5.15,4.9,12.2,18,66,3.7,1,297,59,5.03,63,5.65,2,23:31,,9,75,6,53,15,128,20,,,,13,5,38.5,3,3,100,4,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,ARI,1997-12-14,37,28,265,9,18,1,0,Sun,15,16,@,NOR,L 10-27,17,37,20,45.9,154,0,2,0,5.4,38.1,5,26,11.9,4.2,3.67,1.73,1.52,9.1,28,111,4,1,265,70,3.79,58,6.59,4,29:40:00,,9,59,13,107,22,166,18,,,,16,7,43.8,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ARI,1997-12-07,38,20,358,8,14,4,0,Sun,14,15,,WAS,L 28-38,19,38,19,50,301,4,2,10.5,5.3,93.9,5,36,11.63,7.9,7,7.66,6.77,15.8,20,57,2.9,0,358,63,5.68,70,5.17,3,24:43:00,,8,60,6,46,14,106,14,,,,14,2,14.3,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,ARI,1997-11-30,27,17,291,4,18,2,0,Sun,13,14,,PIT,L 20-26 (OT),16,27,11,59.3,243,2,0,7.4,0,121.8,10,53,27.03,9,6.57,10.48,7.65,15.2,17,48,2.8,0,291,54,5.39,81,4.22,0,26:12:00,,4,30,4,20,8,50,18,,,,11,2,18.2,0,0,,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ARI,1997-11-23,34,24,273,2,15,1,0,Sun,12,13,@,BAL,W 16-13,19,34,15,55.9,202,1,2,2.9,5.9,60.7,2,16,5.56,5.9,5.61,3.88,3.67,10.6,24,71,3,0,273,60,4.55,67,4.69,2,27:46:00,,2,20,8,63,10,83,15,,,,13,4,30.8,1,1,100,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ARI,1997-11-16,33,23,399,6,21,1,0,Sun,11,12,@,NYG,L 10-19,22,33,11,66.7,350,1,2,3,6.1,91.5,8,38,19.51,10.6,8.54,8.48,6.83,15.9,23,49,2.1,0,399,64,6.23,62,6.02,3,28:00:00,,6,44,5,55,11,99,21,,,,15,8,53.3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ARI,1997-11-09,36,26,274,8,18,0,0,Sun,10,11,@,DAL,L 6-24,18,36,18,50,173,0,0,0,0,69.4,9,49,20,4.8,3.84,4.81,3.84,9.6,26,101,3.9,0,274,71,3.86,59,5.58,1,30:45:00,,8,60,7,70,15,130,18,,,,15,3,20,3,1,33.3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ARI,1997-11-02,27,33,231,5,17,4,0,Sun,9,10,,PHI,W 31-21,12,27,15,44.4,141,1,1,3.7,3.7,61.5,5,24,15.63,5.2,4.41,4.3,3.63,11.8,33,90,2.7,2,231,65,3.55,70,5.14,2,30:00:00,,5,38,15,140,20,178,17,,,,15,3,20,1,1,100,4,4,4,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0
9,ARI,1997-10-26,40,24,263,8,22,2,0,Sun,8,9,,TEN,L 14-41,21,40,19,52.5,157,2,4,5,10,43.2,6,38,13.04,3.9,3.41,0.43,0.37,7.5,24,106,4.4,0,263,70,3.76,56,5.05,7,31:05:00,,8,55,8,61,16,116,22,,,,12,4,33.3,3,1,33.3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
