Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,,"Rk,Team,Date,Att,Att,TO,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD"
1,ARI,2024-01-07,30,38,466,5,24,2,0,Sun,17,18,,SEA,L 20-21,22,30,8,73.3,260,1,0,3.3,0,110.7,1,2,3.23,8.7,8.39,9.33,9.03,11.8,38,206,5.4,1,466,69,6.75,53,6.17,0,36:03:00,2:59,5,27,0,0,5,27,24,13,11,0,13,5,38.5,2,2,100,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,ARI,2023-12-31,31,40,449,5,32,4,0,Sun,16,17,@,PHI,W 35-31,25,31,6,80.6,228,3,1,9.7,3.2,116.7,1,4,3.13,7.4,7.13,7.84,7.59,9.1,40,221,5.5,1,449,72,6.24,47,5.85,1,39:39:00,2:53,5,25,4,49,9,74,32,14,16,2,10,5,50,2,2,100,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,,
3,ARI,2023-12-24,38,20,306,2,16,2,0,Sun,15,16,@,CHI,L 16-27,24,38,14,63.2,213,2,0,5.3,0,97.5,2,17,5,5.6,5.33,6.66,6.33,8.9,20,93,4.7,0,306,60,5.1,67,6.27,0,25:28:00,2:59,2,8,5,35,7,43,16,5,10,1,16,7,43.8,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
4,ARI,2023-12-17,39,30,436,4,22,3,0,Sun,14,15,,SFO,L 29-45,26,39,13,66.7,202,1,2,2.6,5.1,67.4,3,9,7.14,5.2,4.81,3.38,3.14,7.8,30,234,7.8,2,436,72,6.06,54,7.52,2,34:11:00,3:05,4,28,1,5,5,33,22,11,11,0,16,7,43.8,4,3,75,3,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,,
5,ARI,2023-12-03,23,38,282,6,18,3,0,Sun,13,13,@,PIT,W 24-10,13,23,10,56.5,132,1,0,4.3,0,89.9,2,13,8,5.7,5.28,6.61,6.08,10.2,38,150,3.9,2,282,63,4.48,58,5.47,0,29:17:00,4:18,6,51,9,77,15,128,18,8,7,3,17,10,58.8,0,0,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,ARI,2023-11-26,45,15,292,5,19,2,0,Sun,12,12,,LAR,L 14-37,27,45,18,60,219,1,0,2.2,0,83.2,4,37,8.16,4.9,4.47,5.31,4.88,8.1,15,73,4.9,1,292,64,4.56,66,6.92,0,25:08:00,3:00,5,34,5,23,10,57,19,5,11,3,17,6,35.3,3,2,66.7,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,,
7,ARI,2023-11-19,30,25,319,5,20,2,0,Sun,11,11,@,HOU,L 16-21,20,30,10,66.7,196,1,1,3.3,3.3,84.6,3,18,9.09,6.5,5.94,5.7,5.18,9.8,25,123,4.9,1,319,58,5.5,67,6.25,2,28:45:00,2:51,5,50,3,19,8,69,20,7,11,2,10,3,30,4,1,25,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
8,ARI,2023-11-12,32,26,352,11,20,2,0,Sun,10,10,,ATL,W 25-23,19,32,13,59.4,230,0,1,0,3.1,71,2,19,5.88,7.2,6.76,5.78,5.44,12.1,26,122,4.7,2,352,60,5.87,65,3.91,1,28:18:00,3:02,11,112,4,43,15,155,20,8,11,1,11,3,27.3,1,1,100,2,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9,ARI,2023-11-05,20,21,58,4,7,0,0,Sun,9,9,@,CLE,L 0-27,11,20,9,55,17,0,2,0,10,20.8,7,41,25.93,0.9,0.63,-3.65,-2.7,1.5,21,41,2,0,58,48,1.21,71,4.59,3,23:35,2:58,4,40,6,65,10,105,7,3,3,1,12,1,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,ARI,2023-10-29,37,32,310,6,22,3,0,Sun,8,8,,BAL,L 24-31,25,37,12,67.6,181,2,2,5.4,5.4,77.3,2,27,5.13,4.9,4.64,3.54,3.36,7.2,32,129,4,1,310,71,4.37,60,4.47,2,30:21:00,3:10,6,70,6,45,12,115,22,7,12,3,12,5,41.7,2,0,0,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,,
11,ARI,2023-10-22,34,25,249,7,15,1,0,Sun,7,7,@,SEA,L 10-20,20,34,14,58.8,122,0,0,0,0,69.5,4,28,10.53,3.6,3.21,3.59,3.21,6.1,25,127,5.1,1,249,63,3.95,58,5.48,0,29:28:00,3:00,7,59,5,32,12,91,15,6,7,2,15,5,33.3,3,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,ARI,2023-10-15,41,30,345,5,20,0,0,Sun,6,6,@,LAR,L 9-26,21,41,20,51.2,215,0,1,0,2.4,58.5,2,20,4.65,5.2,5,4.15,3.95,10.2,30,130,4.3,0,345,73,4.73,55,6.95,2,30:30:00,3:01,5,36,6,59,11,95,20,6,12,2,16,6,37.5,4,2,50,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,ARI,2023-10-08,32,22,294,2,15,3,0,Sun,5,5,,CIN,L 20-34,15,32,17,46.9,152,2,2,6.3,6.3,57.6,3,14,8.57,4.8,4.34,3.19,2.91,10.1,22,142,6.5,1,294,57,5.16,79,4.81,3,21:50,3:01,2,16,4,40,6,56,15,5,10,0,11,4,36.4,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
14,ARI,2023-10-01,41,25,362,9,23,2,0,Sun,4,4,@,SFO,L 16-35,28,41,13,68.3,257,2,0,4.9,0,102.2,1,8,2.38,6.3,6.12,7.24,7.07,9.2,25,105,4.2,0,362,67,5.4,53,7.45,0,30:46:00,2:51,9,55,4,21,13,76,23,7,13,3,15,8,53.3,3,2,66.7,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
15,ARI,2023-09-24,21,30,400,8,20,3,0,Sun,3,3,,DAL,W 28-16,17,21,4,81,178,1,0,4.8,0,120,2,11,8.7,8.5,7.74,9.43,8.61,10.5,30,222,7.4,2,400,53,7.55,75,5.55,0,25:27:00,2:56,8,69,13,107,21,176,20,8,8,4,10,5,50,0,0,,3,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,
16,ARI,2023-09-17,31,29,379,8,24,3,0,Sun,2,2,,NYG,L 28-31,21,31,10,67.7,228,1,0,3.2,0,99.9,0,0,0,7.4,7.35,8,8,10.9,29,151,5.2,2,379,60,6.32,67,6.55,0,30:37:00,3:11,8,57,9,75,17,132,24,10,11,3,10,4,40,0,0,,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,
